# Monthly Runoff (AHPS Computed)
# units: mm over lake
# Original data source://lre-netapp1/LRE1-Public/Public/Share/H&H/WHS/FORECAST/AHPS
# Last modified 2019-09-03 12:47:17 by DA9
#
"year","month","SUP","MIC","HUR","GEO","MIH","STC","ERI","ONT"
"1954","07","40.65","43.66","12.31","83.66","39.29","59.6","24.57","33.69"
"1954","08","33.93","30.52","8.83","60.38","27.85","43.99","22.42","32.22"
"1954","09","38.77","41.44","22.5","109.11","45.84","93.66","13.84","112.42"
"1954","10","52.69","99.05","73.97","253.58","115.39","876.96","145.28","102.9"
"1954","11","39.87","55.59","26.6","174.66","64.83","269.61","47.47","125.97"
"1954","12","34.4","48.92","27.72","148.35","57.68","329.21","62.26","149.77"
"1955","01","28.3","49.72","24.24","111.7","50.94","468.28","85.16","138.05"
"1955","02","23.3","40.02","22.88","85.39","41.44","397.33","76.1","113.52"
"1955","03","26.73","57.2","66.14","111.27","69.04","915.27","168.18","327.37"
"1955","04","116.16","78.02","49.73","355.79","113.19","354.76","72.52","296.25"
"1955","05","73.17","51.75","26.85","195.36","66.38","124.87","29.82","105.83"
"1955","06","46.43","43.26","18.28","96.6","43.25","76.63","24.81","42.48"
"1955","07","31.89","25.27","8.7","44.42","22.64","46.83","16.46","21.24"
"1955","08","29.24","22.03","9.08","43.56","21.04","52.5","21.95","47.6"
"1955","09","37.37","24.66","12.31","67.28","27.29","109.27","16.46","36.99"
"1955","10","49.56","44.27","18.52","122.05","47.95","387.39","101.62","261.83"
"1955","11","48","48.92","31.08","162.15","61.08","544.91","108.78","210.56"
"1955","12","33.77","40.63","25.49","125.5","49.13","376.04","48.9","148.31"
"1956","01","27.2","30.93","15.79","92.72","35.69","134.81","24.33","93.38"
"1956","02","22.67","27.49","12.93","69","29.17","310.77","108.3","117.91"
"1956","03","23.61","46.89","41.4","68.57","48.50","1081.3","174.62","220.45"
"1956","04","71.76","93.39","97.96","264.8","122.71","797.49","115.22","351.54"
"1956","05","108.35","105.72","88.52","276.87","127.47","1332.47","132.87","280.87"
"1956","06","69.1","48.51","20.89","147.92","55.05","222.79","34.35","104.73"
"1956","07","49.56","47.5","15.66","125.93","49.18","100.75","22.42","52.37"
"1956","08","35.33","38.2","26.73","74.18","40.06","259.68","36.26","48.34"
"1956","09","36.43","28.1","14.05","110.83","36.63","102.17","20.99","74.7"
"1956","10","32.99","21.02","9.57","110.4","31.53","68.11","11.69","64.82"
"1956","11","35.02","28.5","14.67","112.56","37.32","185.89","36.98","49.07"
"1956","12","27.99","34.16","32.95","124.2","48.31","444.16","89.46","151.24"
"1957","01","24.23","33.55","28.97","106.52","43.78","407.26","76.1","149.04"
"1957","02","19.86","36.18","30.09","89.7","42.74","391.65","78.48","134.03"
"1957","03","26.58","45.68","42.52","141.02","60.02","590.31","74.91","219.71"
"1957","04","88.96","71.35","44.01","262.21","92.78","539.23","186.55","191.15"
"1957","05","108.03","72.36","38.42","227.71","85.76","414.36","53.44","135.12"
"1957","06","63.79","46.29","20.02","140.16","52.40","131.97","49.62","81.66"
"1957","07","49.09","36.59","28.72","129.81","48.96","202.92","47.95","62.98"
"1957","08","29.71","26.28","8.83","48.3","23.81","92.24","14.07","28.93"
"1957","09","51.12","32.34","17.78","93.58","37.22","238.4","35.31","35.52"
"1957","10","39.4","38.2","29.71","119.89","48.48","405.84","68.7","46.14"
"1957","11","47.37","67.92","44.63","202.69","81.68","520.78","72.76","94.48"
"1957","12","40.34","58.82","42.77","208.3","77.46","720.87","128.58","180.17"
"1958","01","33.46","46.29","24.12","170.78","58.77","248.33","51.77","137.69"
"1958","02","28.77","34.77","20.02","118.6","43.24","168.86","34.83","100.7"
"1958","03","35.18","52.35","44.26","157.41","66.56","414.36","64.17","253.04"
"1958","04","72.23","57.81","34.56","182.42","69.94","236.98","64.41","211.29"
"1958","05","60.04","41.24","16.41","128.95","46.85","103.59","42.7","148.67"
"1958","06","59.57","41.24","15.66","107.38","43.10","164.61","57.01","105.83"
"1958","07","60.04","43.26","11.81","116.01","44.16","76.63","41.27","57.13"
"1958","08","40.18","28.91","13.05","52.61","27.26","43.99","31.73","45.77"
"1958","09","55.35","39.82","15.29","82.37","38.22","103.59","29.1","80.93"
"1958","10","42.37","37.19","15.66","115.15","42.36","39.73","15.27","86.05"
"1958","11","51.59","41.03","27.35","128.95","50.53","272.45","67.03","113.52"
"1958","12","39.71","34.16","14.92","103.93","38.80","119.2","36.5","82.76"
"1959","01","30.8","26.08","12.18","78.92","29.82","218.53","114.74","108.03"
"1959","02","25.48","26.88","10.32","57.79","26.16","175.96","155.78","86.42"
"1959","03","32.36","68.32","52.59","76.33","64.18","1260.1","137.88","203.6"
"1959","04","64.88","110.57","130.41","369.16","159.28","1176.37","156.97","467.62"
"1959","05","98.18","75.6","47.37","335.52","107.90","359.01","83.97","174.31"
"1959","06","58.16","37.39","15.54","113.42","42.14","151.84","24.09","58.59"
"1959","07","38.77","35.37","11.69","66.41","32.20","78.05","17.89","57.86"
