# Monthly Precipitation
# units: mm
# Coordinated Period: 1900 to 2016
# Preliminary data from 2016 to 2016 from NOAA Co-Ops
# Preliminary data from 2017 to present from USACE Web Reports
# Last modified 2019-09-03 12:47:17 by DA9
#
"year","month","SUP","MIH","STC","ERI","ONT"
"2014","09",108,103,150,108,64
"2014","10",92,118,64,75,82
"2014","11",78,91,65,65,67
"2014","12",50,46,33,44,54
"2015","01",44,37,47,58,56
"2015","02",35,28,39,41,53
"2015","03",33,25,23,36,34
"2015","04",48,67,60,75,76
"2015","05",95,97,87,98,64
"2015","06",83,94,144,199,181
"2015","07",64,56,65,97,65
"2015","08",81,89,80,78,83
"2015","09",79,81,61,79,107
"2015","10",71,71,79,68,96
"2015","11",81,88,64,53,45
"2015","12",91,106,65,82,83
"2016","01",39,41,47,31,59
"2016","02",86,37,74,50,114
"2016","03",48,75,138,81,76
"2016","04",34,40,69,56,39
"2016","05",62,47,52,42,31
"2016","06",110,54,64,39,44
"2016","07",76,66,94,51,39
"2016","08",75,85,128,79,77
"2016","09",96,66,99,79,46
"2016","10",74,68,63,55,90
"2016","11",64,38,54,51,46
"2016","12",75,45,81,45,69
"2017","01",45.8,57.6,71.7,85.8,72.5
"2017","02",48.1,53.8,54.25,54.7,60.9
"2017","03",39.5,55.2,67.45,79.7,73.9
"2017","04",76.6,110.4,102.85,95.3,115.3
"2017","05",72.14,78.23,104.01,129.79,151.89
"2017","06",107.8,117.1,106.95,96.8,109.5
"2017","07",61.3,69.9,75.1,80.3,92.7
"2017","08",96.9,86.7,72.65,58.6,69.1
"2017","09",112.8,43.4,39.8,36.2,47.5
"2017","10",87.3,120.3,98.95,77.6,137.1
"2017","11",64.2,57.6,81,104.4,76.1
"2017","12",54.9,37.3,35.2,33.1,46.8
"2018","01",35.3,37.9,40.9,43.9,63.1
"2018","02",34.1,54.1,68.75,83.4,62.2
"2018","03",12,24.5,42.4,60.3,45.9
"2018","04",22.9,69.5,77.45,85.4,100.3
"2018","05",76.2,87.5,88.05,88.6,51.6
"2018","06",83.3,58.4,73.35,88.3,68.3
"2018","07",74.3,52.5,62.8,73.1,74.6
"2018","08",70.6,107.8,99.9,92,96
"2018","09",89,72.7,72.1,71.5,71.9
"2018","10",107.1,113.9,98.7,83.5,87.9
"2018","11",45.7,59.1,73.9,88.7,104.8
"2018","12",33.4,49.9,55.7,61.5,76.6
"2019","01",30.6,41.2,42.5,43.8,59.2
"2019","02",63.6,63,62.1,61.2,63.5
"2019","03",34.4,40.8,55.65,70.5,53.4
"2019","04",64.8,87.6,99.55,111.5,91.7
"2019","05",69.2,102.1,99.1,96.1,113.6
"2019","06",72.7,91.8,100.95,110.1,98.9
"2019","07",68.7,56.3,75.5,94.7,68.6
"2019","08",55.1,53.8,69.1,84.4,74.6
